Fish Species,Temperature (°C),pH,Turbidity (NTU),Dissolved Oxygen (mg/L),Salinity (ppt),Ammonia (%),Nitrates (%)
Eel,18.76,7.46,21.35,7.85,24.25,2.46,38.13
Trout,17.74,7.44,5.38,11.76,,0.62,42.1
Catfish,25.88,6.79,,,3.3,2.09,49.61
Trout,16.26,7.43,2.85,10.19,,2.63,30.32
Trout,13.9,7.46,4.73,11.17,3.68,2.49,12.37
Tilapia,29.98,7.9,271.90417324437703,6.2,4.08,2.86,12.76
Tilapia,28.58,7.72,,4.91,0.63,2.5,25.06
Eel,9.25,6.3,19.73,6.2,,,43.56
Bass,24.36,7.06,35.86,6.03,6.67,2.73,24.18
Salmon,11.72,6.82,7.44,6.04,18.86,1.54,42.92
,24.21,7.87,1.92,5.91,34.85,2.7,10.06
Clownfish,27.36,8.33,2.68,6.9,32.97,1.79,17.86
Clownfish,24.47,8.27,2.16,7.58,32.44,0.63,49.28
Goldfish,20.68,8.0,8.72,5.62,2.97,,23.53
Tilapia,23.23,7.98,24.49,4.31,3.46,1.36,29.08
Eel,6.7,6.08,26.86,4.57,19.24,2.6,35.32
Trout,12.09,6.62,9.44,7.52,1.49,2.17,1.35
Trout,10.4,6.99,1.92,7.05,1.54,2.97,23.67
Eel,17.84,7.7,10.08,6.06,29.9,2.04,39.96
,22.43,6.88,8.71,4.2,4.69,2.32,9.0
Eel,15.75,6.02,12.72,6.6,6.5,0.01,39.11
Salmon,11.98,7.35,8.85,7.84,34.9,2.83,4.04
,24.04,7.81,4.08,6.69,34.46,1.96,49.93
Clownfish,24.4,8.35,2.34,6.75,33.67,2.83,8.52
Trout,12.74,6.59,5.78,10.08,3.66,,25.31
Goldfish,15.48,8.25,11.19,5.82,0.16,0.92,31.87
Catfish,23.48,6.83,59.25,5.17,3.12,1.63,2.66
Bass,18.92,7.14,10.96,8.22,9.67,1.08,12.93
Clownfish,25.39,7.83,3.77,5.29,,1.9,
Clownfish,25.27,8.38,0.12,5.97,32.66,0.07,15.57
Tilapia,25.01,7.45,,6.37,0.15,,13.01
Goldfish,23.19,8.07,13.11,7.21,0.74,0.23,0.59
Catfish,26.63,7.06,43.5,5.73,,0.41,9.26
Tilapia,27.79,7.38,42.3,6.6,2.45,0.04,36.91
Trout,11.59,7.02,1.45,10.11,3.23,1.69,48.84
Tilapia,22.69,7.94,34.01,4.07,3.79,0.71,31.86
Clownfish,25.18,7.9,0.61,5.89,29.52,2.78,3.7
Tilapia,26.55,7.5,22.71,6.61,4.17,0.83,
Catfish,26.31,7.21,43.18,5.56,2.12,2.45,3.73
Goldfish,12.86,7.28,18.25,5.94,4.9,1.76,6.78
Goldfish,,7.45,16.46,7.28,1.21,2.84,14.39
Clownfish,,7.9,4.99,5.7,28.98,2.22,4.82
Eel,15.26,6.54,20.02,4.09,24.93,0.72,2.39
Clownfish,27.7,7.86,2.83,7.36,34.75,1.86,37.96
Trout,11.75,7.35,7.62,10.71,3.94,1.7,29.02
Eel,12.77,6.37,24.17,3.73,16.93,0.89,34.37
Eel,7.22,6.49,12.71,4.4,13.95,2.64,44.11
Eel,12.91,6.33,29.7,4.24,12.75,1.92,4.89
Eel,12.41,6.15,,5.42,25.22,2.57,16.68
Tilapia,23.65,6.69,16.57,5.52,2.57,1.01,48.89
Trout,14.73,7.16,6.15,9.13,,0.22,23.99
Eel,14.55,7.32,12.26,5.08,23.16,1.53,38.29
Clownfish,24.27,7.84,1.87,7.91,33.18,0.67,44.15
,,8.07,11.31,5.47,4.11,2.25,26.01
Catfish,,6.05,30.34,4.75,3.72,2.74,2.78
Tilapia,23.75,7.8,18.51,7.51,1.45,2.64,31.99
,16.17,7.13,8.3,5.13,3.69,0.41,42.09
Catfish,25.93,6.56,62.77,,4.76,1.77,1.97
Trout,17.06,7.05,2.42,9.96,2.68,0.5,22.67
Eel,8.69,6.58,,3.11,22.8,0.95,27.01
Salmon,14.8,7.08,4.15,,27.8,0.3,19.04
Catfish,25.89,6.21,32.55,6.69,3.98,2.84,30.76
Catfish,27.85,6.72,83.32,3.7,2.12,2.29,
Goldfish,24.14,7.73,15.86,5.16,3.75,1.67,16.98
Tilapia,23.51,7.41,28.71,6.18,0.01,0.06,40.73
Eel,23.33,7.68,17.83,6.84,19.86,0.66,9.88
Tilapia,27.86,7.08,18.14,4.8,1.05,3.0,10.68
Clownfish,24.67,7.82,1.5,6.34,30.92,1.4,45.61
Eel,12.22,6.72,28.34,4.18,23.99,1.89,26.56
Trout,17.26,6.8,4.47,7.43,1.45,1.15,40.89
Tilapia,28.03,,14.79,6.11,4.89,1.68,1.1
,11.25,7.96,21.99,5.78,25.57,2.33,36.94
Trout,12.84,6.62,3.47,9.86,1.64,0.29,4.98
Bass,21.0,6.71,38.31,5.2,,,34.66
Clownfish,27.1,8.17,2.7,6.22,34.28,0.9,2.97
Catfish,26.28,7.62,52.87,4.84,3.37,0.97,38.93
Goldfish,13.65,7.32,9.72,5.48,3.12,1.96,47.26
Catfish,23.16,6.92,37.76,4.24,3.88,1.36,21.08
Trout,15.32,6.59,5.38,11.93,0.84,2.68,45.86
Trout,15.54,6.77,2.46,11.98,1.29,2.58,25.09
Trout,13.92,6.93,9.09,,3.55,2.79,36.26
Trout,13.81,6.93,0.48,11.32,,0.74,47.71
Bass,21.35,7.16,10.57,8.95,4.72,1.92,29.93
Bass,16.14,6.61,9.64,7.13,0.84,2.06,31.04
Trout,13.95,7.39,1.38,,3.73,1.98,26.17
Clownfish,26.5,8.38,1.75,7.99,33.08,2.93,21.55
Salmon,13.16,7.25,1.85,7.53,27.55,2.95,13.94
Trout,16.42,6.83,0.82,11.67,0.87,2.18,0.91
Trout,,7.25,0.75,,3.28,2.13,13.85
Goldfish,13.49,7.29,7.2,7.93,0.61,1.64,22.25
Eel,,6.5,11.45,5.35,10.15,2.27,25.4
Goldfish,,7.57,6.98,,3.41,1.12,40.97
Trout,11.87,6.79,5.35,7.07,3.46,2.57,23.78
Trout,17.84,7.09,2.35,7.59,3.06,0.17,48.21
Clownfish,25.83,8.24,,6.99,29.5,0.37,24.17
Catfish,26.57,7.29,39.52,5.97,0.4,1.82,49.12
,10.93,7.06,0.73,7.94,28.13,1.42,30.74
Trout,11.54,6.62,7.35,11.84,1.78,1.81,10.42
Salmon,10.71,6.88,5.95,11.07,27.13,,
Clownfish,25.28,8.35,4.36,5.42,29.49,0.33,19.86
Goldfish,14.34,7.06,9.44,,2.98,0.65,49.24
Salmon,11.53,7.23,3.58,,26.88,2.26,9.47
Bass,19.63,7.37,28.37,5.66,,2.89,21.56
Clownfish,24.4,8.05,3.21,,33.97,1.48,46.42
Trout,10.13,6.62,0.11,10.8,3.54,1.78,23.14
Tilapia,23.06,7.79,25.39,7.88,2.71,1.22,39.69
Eel,12.79,7.97,19.68,6.99,10.43,1.33,24.22
,,7.74,10.27,7.97,2.37,2.01,0.74
Eel,12.27,6.44,10.31,5.61,6.32,0.08,10.26
Clownfish,25.86,8.05,3.67,5.8,33.4,2.56,5.62
Trout,15.62,6.62,9.64,,,0.5,9.88
Eel,,6.52,,6.39,23.97,2.83,
Goldfish,22.93,8.1,13.34,6.6,,1.93,15.93
Catfish,26.06,6.5,51.88,5.11,2.25,1.66,24.13
Goldfish,19.29,7.19,10.76,6.96,4.02,1.36,37.9
Salmon,9.08,6.51,3.28,11.41,33.85,2.23,19.81
Eel,10.88,7.78,21.17,5.97,5.6,2.66,6.65
Goldfish,12.56,8.03,5.54,6.22,4.65,0.15,
Eel,7.07,6.92,11.22,3.93,10.87,,6.69
Catfish,26.09,7.71,65.78,3.88,3.01,1.35,17.95
Bass,17.37,6.34,41.32,4.35,8.8,2.52,24.31
Eel,20.67,7.3,28.1,6.44,21.85,,23.72
Tilapia,27.4,,31.23,5.43,1.11,0.44,22.08
Clownfish,24.21,7.95,0.94,7.99,31.11,2.14,43.35
Bass,20.22,6.15,32.75,6.52,6.44,2.27,34.49
Trout,10.49,7.28,3.01,8.42,3.92,1.56,27.68
Clownfish,25.01,8.08,3.46,5.67,28.52,2.53,46.08
Trout,17.33,6.59,3.36,11.53,3.09,1.78,26.34
Goldfish,20.76,7.19,13.24,5.03,1.0,1.15,28.12
Catfish,23.54,7.03,24.25,6.83,1.43,0.96,22.18
Goldfish,13.16,7.09,11.08,6.88,,0.03,48.31
Salmon,,6.56,1.1,7.36,21.18,0.01,34.52
Trout,16.49,6.98,,10.76,3.31,2.99,19.41
Eel,17.12,6.07,11.23,6.63,27.55,1.52,33.44
Catfish,23.63,6.11,82.41,6.51,0.08,0.54,40.94
Trout,10.14,6.7,1.34,9.72,3.89,1.27,3.08
Tilapia,27.81,7.78,38.68,6.77,4.63,2.9,28.98
Eel,23.55,6.1,27.41,4.12,18.17,0.13,28.89
Goldfish,19.65,8.17,17.02,5.58,3.19,0.91,10.09
Clownfish,27.03,8.17,0.64,6.82,32.13,0.31,44.57
Catfish,20.82,7.89,94.13,,4.98,2.71,46.08
Catfish,23.06,6.45,58.14,6.07,1.33,0.91,45.4
Goldfish,13.89,7.43,19.97,7.58,3.78,0.33,43.72
Salmon,11.3,7.34,7.95,8.43,30.71,2.84,11.41
Goldfish,24.39,7.9,9.47,7.88,0.75,0.63,25.41
Goldfish,18.41,7.74,8.17,5.55,1.72,1.35,42.75
Bass,21.83,,21.18,7.76,3.96,0.09,21.12
Trout,12.35,7.36,8.84,7.64,3.72,1.54,41.27
Eel,13.09,6.28,25.34,4.85,24.1,2.6,42.97
Clownfish,24.93,8.33,1.16,,30.53,3.0,48.31
Tilapia,28.47,7.06,27.42,6.78,3.36,0.8,26.85
Tilapia,,7.08,32.83,4.97,0.45,2.48,33.59
Trout,16.1,6.96,7.32,9.85,4.66,0.23,0.9
Salmon,8.88,7.18,3.34,6.88,20.32,2.79,10.19
Goldfish,,7.85,5.54,7.16,3.32,1.55,21.47
Tilapia,,6.99,48.22,4.56,1.66,0.51,17.44
Tilapia,28.71,7.58,11.95,6.27,0.47,1.86,36.4
Goldfish,21.77,7.73,5.37,5.39,4.13,2.61,17.25
Catfish,25.18,6.93,39.1,3.92,,1.88,27.05
Goldfish,20.65,8.1,16.66,6.4,3.32,2.35,9.46
Tilapia,28.72,7.28,17.8,5.17,4.23,2.36,47.37
Salmon,11.08,6.51,5.58,11.91,31.85,2.57,45.86
Goldfish,24.28,8.26,16.52,7.23,2.23,1.48,44.82
Goldfish,12.2,7.65,6.98,5.33,3.05,2.12,42.09
Eel,10.29,7.17,15.26,4.4,7.19,0.71,7.41
Salmon,11.5,6.59,8.28,9.66,32.3,1.5,32.26
Goldfish,13.1,8.35,16.65,6.57,1.23,1.03,36.21
Catfish,20.96,6.4,92.82,6.24,,2.47,19.97
Salmon,12.01,6.52,3.41,7.94,27.18,1.73,25.37
Goldfish,24.61,7.88,5.37,6.19,2.03,0.69,13.07
Catfish,22.57,6.91,77.0,5.26,,2.95,19.69
Goldfish,23.81,8.31,17.97,5.51,0.32,3.0,
Eel,8.95,7.95,10.1,3.44,17.09,2.85,3.91
Tilapia,29.0,7.89,44.62,4.3,0.25,1.91,11.08
Goldfish,13.31,7.87,9.12,6.03,3.28,2.69,5.44
Clownfish,27.29,8.09,2.23,6.04,30.78,0.53,33.39
Catfish,22.47,6.62,99.18,3.89,1.14,1.42,28.64
Bass,15.33,6.15,23.62,7.48,7.96,2.92,28.93
Bass,20.75,7.3,26.27,9.6,6.42,0.84,11.31
Bass,18.16,6.03,37.51,4.4,7.21,2.75,37.87
Trout,10.07,7.13,7.57,,2.01,0.18,24.32
Trout,15.93,7.2,5.26,11.3,2.86,0.09,40.72
Goldfish,22.58,7.97,5.95,,4.77,0.21,10.75
Catfish,24.98,7.33,33.41,3.36,2.1,2.71,33.72
Bass,19.51,7.23,48.76,5.65,3.22,2.11,12.54
Eel,22.47,7.81,11.6,7.18,25.71,2.62,1.37
Catfish,26.3,7.46,67.82,6.16,0.8,0.14,45.7
Goldfish,19.04,7.9,10.81,5.18,4.52,0.55,35.68
Tilapia,27.65,7.24,34.78,6.87,2.06,1.32,5.3
Trout,10.59,6.97,5.55,9.91,2.66,1.3,
Clownfish,26.61,8.14,2.85,5.71,33.38,1.81,15.56
Clownfish,26.63,8.17,4.2,6.53,33.2,2.53,10.83
Eel,13.44,7.23,15.94,4.21,25.46,2.17,26.42
Catfish,26.38,7.29,6.49,5.18,2.36,2.01,12.31
Goldfish,11.82,7.67,9.18,7.13,,0.65,9.88
Bass,19.92,6.17,47.44,5.63,7.52,2.0,37.59
Tilapia,27.07,7.66,23.96,6.88,3.59,1.16,36.93
Salmon,10.47,6.89,5.58,10.25,24.29,0.24,26.87
,12.11,7.46,10.14,7.94,2.23,0.43,1.19
Eel,24.58,7.77,25.08,5.73,15.38,0.09,24.27
Catfish,23.05,6.68,,4.3,2.24,2.4,11.79
Goldfish,16.71,7.93,14.99,5.9,0.6,0.93,5.52
Tilapia,23.07,7.07,19.34,,0.19,0.31,22.11
Eel,11.89,6.72,13.11,5.37,29.42,1.48,34.32
Trout,16.18,6.81,0.28,8.06,0.4,1.48,42.13
Clownfish,25.33,8.2,2.73,,31.7,1.12,38.09
Clownfish,24.1,8.08,4.91,7.07,33.03,2.04,3.97
Salmon,14.57,7.18,8.76,11.33,30.74,1.37,17.55
Bass,19.66,7.09,48.31,8.52,7.73,1.41,29.37
Salmon,8.72,6.87,4.27,7.42,23.15,0.65,17.81
Clownfish,27.1,8.0,3.64,7.59,28.15,1.78,36.34
Catfish,25.57,6.9,33.61,6.08,0.91,2.57,27.28
Salmon,9.31,7.35,9.63,7.85,22.95,3.0,49.35
Tilapia,25.39,6.93,31.41,5.46,0.97,0.51,42.54
Salmon,,6.81,5.5,6.08,27.6,1.39,15.41
Salmon,10.44,7.1,8.01,11.81,12.19,0.85,38.4
Bass,17.79,7.48,,9.62,2.32,2.1,16.63
,17.39,7.95,15.22,3.14,22.59,0.44,7.51
,20.76,7.8,23.91,3.78,3.27,1.76,10.62
Eel,11.11,7.94,29.89,7.71,13.32,2.71,
Goldfish,15.13,7.23,13.93,5.73,3.33,0.86,4.49
Clownfish,26.79,7.94,2.18,5.11,30.94,2.51,38.09
Goldfish,19.11,7.92,14.23,7.41,0.33,1.35,8.59
Trout,10.56,6.57,9.77,7.1,1.87,0.4,35.26
Clownfish,24.11,8.3,3.14,5.59,34.53,1.29,39.12
Tilapia,29.95,6.92,14.17,7.68,1.64,1.66,23.21
Catfish,22.38,6.21,67.75,3.05,2.34,1.18,37.02
Salmon,10.02,6.61,3.39,11.65,15.58,2.95,20.96
Catfish,20.7,7.7,50.92,5.1,2.63,0.09,32.61
Goldfish,11.26,7.9,19.52,,0.25,2.7,3.0
Eel,15.0,7.27,13.21,6.54,10.04,0.7,4.21
Salmon,12.05,7.44,3.48,,19.16,,16.84
Eel,,6.14,24.57,5.55,18.17,1.95,44.08
Tilapia,29.37,7.94,15.48,4.97,1.3,0.0,44.13
Bass,20.74,6.91,34.27,6.45,5.62,1.57,33.74
Trout,-9.358785503893415,,1.34,10.91,4.55,2.45,42.14
Tilapia,27.95,7.37,30.08,4.45,4.12,2.98,32.54
Catfish,23.86,7.93,62.49,3.47,1.1,0.96,
Bass,24.32,7.29,22.19,6.02,4.52,2.09,5.5
Clownfish,27.53,8.26,4.33,,33.61,2.44,41.89
Salmon,14.87,7.11,8.52,6.42,14.66,2.49,
Eel,23.37,,10.81,5.49,7.01,1.15,45.24
Goldfish,22.62,8.1,12.88,7.53,3.41,0.49,46.23
Eel,14.37,7.11,28.06,6.35,9.24,0.92,23.04
Eel,13.48,6.27,11.92,4.54,,0.17,39.29
Clownfish,25.01,7.97,2.37,6.77,33.59,1.52,47.84
Clownfish,25.34,7.96,2.26,5.24,29.62,2.26,21.43
Eel,7.57,6.95,12.59,7.54,11.64,2.06,4.93
Trout,10.67,7.15,4.05,11.75,2.06,0.57,2.88
Tilapia,27.86,7.96,49.27,7.98,3.17,1.56,44.79
Eel,10.17,7.89,26.18,7.98,20.15,2.7,36.27
Goldfish,11.21,8.23,16.62,7.35,4.53,0.09,2.22
Eel,8.56,7.81,12.03,3.32,29.17,2.47,42.19
Catfish,20.45,7.77,,3.56,4.93,2.76,18.9
Clownfish,27.43,7.98,3.81,6.57,33.13,1.39,48.53
Clownfish,,7.85,0.07,6.65,29.75,1.51,2.0
Trout,10.18,6.57,6.48,9.28,4.72,0.49,
Tilapia,24.8,7.19,12.2,4.58,4.71,1.4,8.02
Clownfish,26.13,8.11,0.25,7.85,30.78,2.45,35.12
Tilapia,25.5,7.99,25.52,7.8,0.51,2.62,41.21
Clownfish,24.25,8.07,4.37,5.72,34.07,2.96,43.16
Tilapia,28.71,7.03,32.5,5.76,3.0,1.59,14.33
Goldfish,24.94,7.1,9.28,7.12,0.39,2.05,22.57
Bass,17.78,7.42,35.38,6.82,4.76,1.54,1.81
Clownfish,24.29,7.93,2.53,6.7,31.92,0.5,8.75
Salmon,9.35,7.11,9.9,9.38,26.78,0.85,9.11
Catfish,22.29,6.82,63.27,4.93,2.56,0.71,23.6
Catfish,22.34,7.47,14.22,4.49,0.92,2.27,26.79
Goldfish,,8.32,19.66,7.37,,2.33,
Goldfish,15.12,7.79,10.99,5.83,0.61,0.04,42.41
Goldfish,12.99,7.95,9.98,6.94,3.11,1.67,25.46
,16.4,6.19,47.91,,6.94,2.91,19.19
Catfish,22.49,7.09,5.48,3.18,1.53,1.39,17.93
Bass,17.5,7.17,47.6,4.23,5.15,2.78,14.69
Bass,19.19,6.18,40.13,4.93,1.03,1.25,9.32
Tilapia,29.73,7.16,26.7,5.71,1.94,1.84,7.39
,5.62,6.06,13.07,7.44,5.61,1.29,7.67
Catfish,25.94,6.02,53.64,6.35,3.15,0.09,0.39
Goldfish,24.97,8.17,11.13,6.11,1.03,2.83,13.82
Tilapia,,7.27,17.45,5.44,3.95,3.0,33.31
Clownfish,-8.45391610967509,7.99,4.05,7.35,31.0,0.15,13.87
Clownfish,24.67,7.81,0.81,6.61,29.21,0.23,41.42
Trout,17.51,7.47,0.79,7.27,2.87,2.11,21.53
Tilapia,26.63,6.56,46.84,5.01,4.83,1.43,28.35
Trout,10.74,7.45,8.05,8.23,4.39,0.09,8.58
Clownfish,26.96,8.33,1.9,7.63,29.73,1.99,27.95
,15.68,7.73,26.34,4.59,19.92,0.03,29.23
Trout,14.35,7.33,4.52,7.0,2.12,1.05,34.72
Trout,16.1,6.96,8.61,11.66,,2.55,1.3
Clownfish,26.1,8.0,2.11,5.16,30.09,1.51,42.98
Clownfish,27.54,8.01,1.97,7.73,28.26,2.6,43.48
Goldfish,15.4,7.54,11.36,7.69,0.29,1.57,33.94
Eel,18.05,7.26,23.06,7.57,17.33,1.22,20.33
Tilapia,28.29,7.48,46.59,6.64,0.9,0.09,29.91
Tilapia,29.04,7.0,33.31,7.7,3.35,0.05,0.16
Trout,12.94,6.64,,8.58,3.89,0.92,2.85
Clownfish,25.29,8.11,4.5,,30.71,2.47,2.77
Bass,,6.06,48.36,5.64,4.34,0.2,46.12
Clownfish,24.36,7.99,3.29,7.64,33.67,0.76,44.81
Salmon,12.37,6.64,8.11,10.79,2.833677326117119,0.79,35.86
,28.72,7.08,28.15,6.0,1.37,0.48,19.2
Goldfish,15.86,7.47,12.14,6.82,3.78,0.15,4.05
Salmon,9.78,6.53,4.08,10.06,11.43,1.71,45.03
Salmon,9.11,6.91,5.38,6.21,27.47,1.03,45.18
Tilapia,29.96,7.33,40.59,7.24,0.77,2.58,45.33
Catfish,24.24,6.19,91.41,6.32,1.51,0.1,37.37
Eel,7.27,6.68,26.41,3.49,19.49,1.36,10.25
Trout,14.77,6.68,5.77,9.68,3.45,0.67,42.12
Catfish,25.16,6.36,25.89,5.24,0.01,0.84,48.3
Eel,7.96,,11.85,6.79,16.61,1.84,27.41
Tilapia,22.35,7.64,47.81,6.83,1.71,1.38,
Goldfish,19.72,7.89,8.99,7.46,2.56,1.39,26.81
Salmon,12.19,6.98,0.69,9.93,15.16,1.63,45.42
Tilapia,25.29,7.48,43.5,6.17,1.99,0.89,34.84
Salmon,13.29,6.92,6.9,6.74,12.32,0.66,
Eel,8.76,6.33,28.79,4.32,21.49,0.35,34.3
Trout,14.76,6.62,0.1,11.66,-3.3864753459172854,2.5,25.21
Catfish,27.19,7.88,50.59,4.62,1.16,1.34,39.82
Trout,,6.55,9.99,10.68,3.84,2.96,40.38
Bass,24.92,7.36,42.57,5.56,9.1,2.43,11.54
Salmon,13.63,6.69,9.76,6.04,11.24,1.08,43.08
Tilapia,24.55,7.36,38.42,5.16,4.17,0.91,21.03
Trout,13.39,6.66,2.8,8.53,,0.67,
Salmon,8.21,7.36,2.5,6.94,21.73,2.93,19.88
Eel,13.73,7.97,11.75,4.09,16.54,2.01,6.77
Catfish,23.86,6.08,14.69,4.47,3.08,2.01,10.79
Tilapia,25.17,7.1,16.56,6.63,1.99,1.05,8.95
Clownfish,26.3,8.23,1.99,5.17,33.77,2.56,9.24
Salmon,22.661123643103664,7.3,4.25,11.48,29.29,1.7,12.14
Salmon,11.54,7.09,5.9,7.0,32.9,2.81,9.51
Catfish,24.19,6.96,12.58,5.55,2.09,1.75,32.52
Salmon,14.4,6.98,8.06,9.7,27.82,0.5,2.23
Goldfish,11.58,7.01,12.59,,2.24,2.2,44.06
Trout,15.61,7.39,6.01,,4.23,2.63,35.16
Eel,20.43,6.99,17.79,5.77,10.68,0.45,7.49
Tilapia,27.94,6.67,22.24,6.99,3.71,0.2,46.89
Goldfish,24.92,7.22,19.46,6.2,3.18,1.42,45.41
Trout,14.03,6.85,3.12,7.38,2.03,2.73,22.31
Trout,14.13,6.5,6.54,10.45,3.15,,37.17
Eel,23.28,6.1,28.13,4.03,16.38,2.85,28.98
Tilapia,27.58,7.77,18.37,5.16,3.66,2.58,
Clownfish,26.03,7.97,4.28,7.04,,1.08,8.69
Salmon,10.26,7.4,1.73,9.55,20.35,0.72,5.7
Catfish,27.79,7.66,63.85,3.03,4.79,0.29,26.88
Clownfish,27.65,7.8,1.65,6.47,29.94,0.95,10.56
Salmon,11.57,7.39,7.54,10.76,22.31,2.42,31.11
Bass,16.99,7.22,49.63,5.56,0.28,0.99,25.76
Eel,11.33,6.21,17.45,5.13,8.75,1.06,42.5
Bass,18.26,,31.09,5.57,8.87,1.32,
Trout,15.62,7.42,7.32,7.37,2.64,1.99,16.25
Eel,18.46,7.0,23.84,5.03,8.87,,
Eel,14.13,7.5,10.91,3.29,27.24,2.88,24.78
Bass,23.73,6.66,19.2,5.13,,0.05,47.02
Goldfish,14.42,7.74,11.52,7.27,0.35,1.04,7.41
Clownfish,25.0,8.36,3.25,6.38,,0.04,47.22
,22.77,7.43,35.65,4.18,4.67,2.95,22.94
Trout,13.84,6.68,6.67,7.2,4.49,2.3,23.32
Bass,21.05,6.3,48.38,8.85,4.63,0.04,29.02
Tilapia,26.38,7.01,38.35,7.42,4.03,2.63,33.66
Salmon,13.64,7.48,0.25,11.09,30.34,2.71,8.11
,25.93,6.55,16.04,3.69,0.79,1.26,36.24
,24.92,8.31,1.92,7.0,34.64,0.77,25.86
Goldfish,10.82,7.56,12.76,6.24,1.58,2.26,40.47
Trout,11.1,7.05,8.64,10.66,3.06,0.8,48.32
Clownfish,26.65,8.1,4.01,7.03,28.67,0.71,22.05
Trout,17.13,6.98,4.52,9.05,2.59,1.74,3.35
Salmon,10.73,7.44,1.9,11.05,27.22,0.62,32.0
Catfish,21.54,6.64,87.39,5.7,3.18,1.31,40.23
Trout,17.01,7.11,1.25,11.87,0.42,2.16,6.88
Catfish,25.25,6.83,34.89,4.35,1.17,2.06,1.72
,9.52,,3.99,11.12,12.89,1.53,44.72
Catfish,,9.321063465979847,,4.73,4.76,0.69,
Tilapia,22.8,7.87,45.38,5.21,2.53,0.02,47.63
Clownfish,27.41,8.33,3.15,6.22,30.44,2.26,6.88
Trout,12.71,6.61,2.71,7.25,2.35,0.48,24.09
Tilapia,22.58,7.21,12.66,6.52,2.31,0.05,13.69
Tilapia,24.58,6.78,,7.32,0.3,0.9,2.31
Tilapia,29.5,7.15,15.56,4.98,1.53,1.61,45.47
Clownfish,24.44,7.94,4.84,5.48,29.74,0.34,32.61
Trout,12.69,6.8,8.45,9.2,4.63,2.08,42.64
Goldfish,20.18,8.2,9.14,5.01,4.88,0.96,21.17
Trout,13.24,6.56,0.38,8.17,1.63,1.58,12.08
Catfish,21.15,7.44,65.45,5.24,4.31,0.12,12.71
,21.5,6.15,29.52,4.38,4.64,1.56,24.93
Catfish,21.96,6.89,28.1,19.61356802572663,2.71,0.93,18.5
Clownfish,25.27,8.39,1.93,5.68,28.22,0.16,32.91
Clownfish,25.46,7.89,0.6,6.9,34.54,0.91,14.98
Trout,10.38,7.14,3.21,10.81,2.2,0.16,14.6
Trout,14.03,6.58,,7.64,3.47,0.46,38.09
,,6.96,2.02,9.55,12.26,1.0,10.29
Catfish,26.06,6.64,9.59,4.82,0.71,1.19,28.68
Trout,11.17,7.03,3.32,7.02,4.7,0.62,2.04
Bass,15.39,6.04,18.25,6.84,7.59,1.59,4.74
Goldfish,19.57,8.02,7.83,5.38,4.49,1.0,35.61
Tilapia,27.48,7.41,21.49,6.31,1.08,2.83,8.8
Bass,,6.12,23.08,4.55,8.73,2.82,46.96
Tilapia,28.3,6.87,18.96,7.04,1.62,1.64,28.51
Clownfish,24.72,7.97,2.84,7.11,28.91,2.4,20.14
Clownfish,24.59,8.1,0.67,,33.22,2.86,12.16
Goldfish,21.1,8.04,6.83,5.83,3.96,2.75,35.85
Goldfish,10.13,7.72,14.28,5.61,1.19,0.59,49.27
Catfish,21.35,7.22,,3.28,2.43,1.44,49.13
Clownfish,24.46,8.02,2.64,5.4,29.1,0.88,48.91
Bass,19.26,6.67,,5.14,2.72,,0.27
Catfish,24.82,6.06,94.68,3.31,0.77,1.6,5.43
Clownfish,24.24,8.0,3.86,6.22,33.75,0.48,43.21
Tilapia,28.2,6.56,33.93,5.51,0.88,1.05,9.78
Eel,7.44,6.63,20.31,7.83,6.42,,1.51
Catfish,24.15,,,6.15,2.1,2.39,49.89
Eel,,7.99,20.59,3.6,8.01,2.27,6.19
Goldfish,10.76,7.51,11.92,7.81,2.57,0.36,37.4
Bass,19.92,7.32,16.13,7.58,9.73,,36.88
Clownfish,24.25,8.33,,,33.32,0.92,32.19
Clownfish,,8.22,2.62,5.58,30.73,1.75,10.33
Goldfish,19.76,7.68,12.96,6.91,2.8,0.86,
Trout,11.51,7.24,5.45,10.18,2.54,1.22,45.32
Trout,11.52,7.0,3.23,7.81,0.38,1.7,21.35
Clownfish,27.19,7.95,1.98,5.51,33.44,2.74,31.98
Clownfish,27.2,10.318542210153646,,7.44,28.79,0.16,46.08
Trout,13.6,6.51,7.28,12.0,4.39,0.5,37.8
Clownfish,26.51,,2.01,7.35,34.94,2.33,
Trout,17.79,,2.47,10.21,0.41,,8.89
Catfish,24.0,7.06,68.61,3.05,2.63,2.54,30.68
Clownfish,25.07,8.13,2.88,7.57,31.29,1.77,48.49
Trout,17.84,6.99,1.59,9.41,,0.16,3.73
Goldfish,14.86,8.38,12.27,5.31,3.42,2.32,5.35
Catfish,22.38,,,6.22,4.13,1.5,48.15
Bass,20.22,7.1,45.82,4.49,2.71,0.62,38.49
Tilapia,26.79,7.89,13.69,5.63,,0.2,14.59
Clownfish,24.77,8.24,4.53,7.02,33.4,2.99,0.07
Clownfish,24.76,8.15,4.56,5.99,32.91,0.72,3.84
Clownfish,25.64,8.33,4.21,7.05,28.84,0.46,3.53
Catfish,20.82,,85.85,3.24,3.59,1.29,9.42
Salmon,13.7,7.36,4.08,8.89,14.91,0.06,42.39
Bass,21.23,6.73,19.05,7.58,6.59,0.29,32.15
Trout,17.05,6.85,5.66,11.29,1.71,2.9,30.24
