Fish Type,Temperature (°C),Turbidity (NTU),pH Level,Ammonia (mg/L),Nitrates (mg/L),Dissolved Oxygen (mg/L)
Goldfish,20.2,2.61,7.04,0.481,16.91,6.69
Bass,16.05,1.57,7.08,0.157,23.11,5.9
Trout,9.86,1.26,7.25,0.126,10.26,7.49
Trout,,2.93,7.93,0.077,11.04,11.12
Trout,17.93,1.61,6.6,0.08,18.09,11.11
Salmon,6.3,0.83,7.22,0.108,12.28,7.26
Tilapia,26.67,4.55,7.64,0.073,32.4,5.72
Tilapia,26.1,4.68,7.54,0.043,39.66,5.67
Goldfish,21.62,1.43,7.83,0.381,30.64,5.78
Trout,10.42,2.33,7.74,0.137,16.32,11.11
Salmon,11.07,1.93,7.62,0.084,7.47,11.84
Goldfish,11.6,3.09,6.98,0.163,22.74,8.91
Trout,7.87,1.3,6.62,0.139,7.99,8.68
Trout,7.25,1.52,7.38,0.083,5.81,7.06
Trout,15.48,0.38,7.24,0.084,0.95,11.72
Goldfish,19.21,2.74,7.3,0.415,21.81,5.58
Bass,22.57,2.36,6.65,0.14,21.15,
Tilapia,29.76,2.28,7.59,0.05,26.29,6.61
Goldfish,18.91,1.22,7.09,,3.05,8.8
Catfish,25.92,5.82,6.93,0.87,48.43,6.78
Salmon,8.58,0.35,6.56,0.094,3.03,9.82
Tilapia,25.2,4.51,7.85,0.391,29.4,5.4
Bass,23.63,5.89,7.07,0.227,21.56,8.91
Tilapia,23.37,4.23,8.18,0.38,45.12,6.31
Goldfish,16.12,2.75,6.73,0.121,20.65,7.18
Tilapia,26.89,3.98,7.77,0.185,35.81,7.0
Trout,9.71,0.87,7.41,0.17,0.74,9.67
Catfish,25.66,8.53,,0.363,25.85,5.23
Goldfish,10.73,1.67,6.94,0.402,31.39,8.82
Bass,25.16,4.35,8.41,0.263,18.38,4.71
Salmon,4.41,1.58,7.82,0.008,2.38,8.25
Catfish,,2.64,7.96,0.194,46.08,5.33
Goldfish,21.95,3.76,7.17,0.119,39.41,6.57
Goldfish,18.02,2.31,7.57,0.281,11.15,5.2
Bass,,3.41,7.41,0.199,37.14,6.33
Salmon,10.09,0.18,7.71,0.045,21.33,11.0
Catfish,25.94,6.05,6.85,0.761,30.61,5.69
Goldfish,17.22,1.43,7.17,0.488,8.26,6.51
Trout,,1.45,7.76,0.194,15.53,10.43
Catfish,26.57,3.45,7.98,0.142,21.15,6.58
Goldfish,11.29,3.64,7.94,0.267,17.07,7.02
Trout,11.69,0.56,7.55,0.115,1.88,8.4
Salmon,7.43,0.25,6.58,0.038,8.33,11.22
Catfish,20.54,3.02,6.18,0.473,18.42,6.23
Trout,9.88,2.12,7.98,0.015,19.36,8.73
Salmon,,1.36,6.99,0.05,14.2,8.71
Bass,16.65,1.51,8.33,0.266,,7.52
Trout,9.29,1.19,6.69,0.132,11.82,8.61
Goldfish,10.34,2.23,6.96,0.286,18.69,5.82
Trout,15.83,1.2,7.68,0.162,5.42,9.5
Salmon,12.73,0.76,7.62,0.108,16.38,11.56
Catfish,24.6,3.06,7.29,0.95,28.4,4.28
Tilapia,24.46,2.95,8.22,0.218,0.31,4.5
Goldfish,21.54,2.49,7.03,0.285,8.28,8.6
Tilapia,,4.36,7.67,0.189,12.75,4.46
Bass,16.11,3.7,6.13,0.262,24.93,5.52
Goldfish,18.69,1.09,6.94,0.495,10.82,6.1
Salmon,8.19,0.9,7.58,0.123,15.51,7.87
Tilapia,25.89,1.06,7.76,0.485,43.02,5.42
Trout,10.97,2.65,6.69,0.169,11.83,9.19
Bass,15.64,5.5,8.39,0.216,9.85,7.68
Salmon,5.99,1.79,7.49,0.036,19.03,10.08
Catfish,25.35,6.8,6.56,0.594,41.27,5.37
Tilapia,23.11,4.48,7.23,0.275,9.53,7.52
Goldfish,13.94,3.84,7.05,0.003,30.97,7.67
Trout,13.27,0.84,7.18,0.099,4.97,8.88
Catfish,25.92,4.61,6.52,0.433,17.92,4.08
Tilapia,26.54,4.91,6.56,0.356,2.76,5.08
Trout,10.11,1.62,7.13,0.104,5.12,10.35
Salmon,7.46,1.88,7.76,0.121,10.53,10.47
Trout,4.91,1.68,7.64,0.1,16.61,11.0
Catfish,26.08,5.12,7.89,0.681,58.84,6.7
Goldfish,23.9,3.38,7.1,0.005,,7.32
Tilapia,27.64,1.12,7.36,0.124,35.86,4.23
Bass,15.16,1.89,7.22,0.121,14.87,6.54
Trout,17.19,0.62,7.65,0.171,9.38,10.95
Goldfish,22.93,1.53,6.69,0.151,29.95,5.13
Trout,9.45,,7.73,0.094,2.44,10.29
Tilapia,28.39,1.46,8.06,0.16,33.37,7.29
Salmon,7.48,0.39,6.93,0.138,20.04,6.66
Bass,19.79,5.77,7.97,0.081,13.35,5.03
Trout,4.5,2.24,6.6,0.153,10.89,8.64
Catfish,22.88,7.79,7.65,0.94,36.37,5.89
Catfish,27.65,4.04,6.84,0.369,39.08,3.21
Trout,6.07,1.94,6.71,0.006,13.25,8.76
Salmon,7.46,0.95,7.37,0.116,13.38,8.75
Bass,21.52,3.24,8.2,0.044,39.51,7.96
Trout,13.97,2.91,7.74,0.086,14.44,7.87
Trout,17.01,2.34,7.36,0.111,14.48,10.36
Tilapia,23.68,1.25,7.75,0.091,,5.41
Salmon,10.24,1.71,6.94,0.071,1.17,8.98
Tilapia,27.14,1.77,6.57,0.379,45.6,7.98
Catfish,24.87,9.81,6.8,0.911,42.55,6.89
Salmon,4.65,0.06,7.76,0.063,24.39,
Trout,14.18,0.54,7.65,0.123,5.49,7.04
Salmon,13.02,1.09,7.21,0.046,17.93,8.47
Catfish,22.4,9.85,6.33,0.084,11.94,3.15
Goldfish,13.36,1.17,6.82,0.154,17.53,6.83
Goldfish,12.43,2.9,6.5,0.144,32.69,5.73
Tilapia,22.27,4.55,,0.481,35.02,6.42
Salmon,13.45,0.22,6.51,0.068,24.94,8.48
Goldfish,21.54,3.47,6.82,0.444,36.92,6.61
Bass,19.72,3.01,6.99,0.161,18.77,8.02
Goldfish,22.96,2.47,7.9,0.04,28.11,7.32
Bass,15.95,2.3,7.92,0.035,21.21,7.72
Goldfish,11.71,2.37,7.72,0.299,20.12,
Trout,10.5,0.34,7.73,0.134,4.65,10.16
Goldfish,10.6,1.26,6.94,0.382,21.13,5.75
Tilapia,,4.37,6.53,0.289,16.63,7.43
Goldfish,10.24,3.5,6.53,0.345,34.19,7.62
Bass,25.5,5.65,6.45,0.172,12.24,7.05
Trout,10.35,0.32,6.63,0.2,14.48,8.91
Catfish,20.18,9.58,7.01,0.98,42.21,5.41
Goldfish,18.92,3.52,7.99,0.265,8.51,8.85
Trout,11.54,2.84,7.44,0.114,10.67,10.16
Salmon,10.47,0.79,7.13,0.191,15.33,9.28
Trout,16.71,1.67,7.27,0.033,6.42,7.01
Trout,14.44,1.6,6.75,0.179,10.0,9.07
Catfish,,9.02,6.25,0.942,57.5,3.65
Tilapia,24.84,2.1,7.58,0.496,35.59,5.51
Salmon,7.48,1.23,7.77,0.023,23.65,11.32
Bass,18.63,2.68,8.43,0.242,46.83,9.0
Salmon,,1.78,7.73,0.006,10.49,8.58
Tilapia,27.4,2.12,6.91,0.047,18.87,7.58
Tilapia,26.35,3.26,8.0,0.261,37.65,7.32
Salmon,15.94,1.21,7.71,0.112,7.43,10.09
Trout,7.15,0.91,6.51,0.004,13.53,7.11
Salmon,12.54,0.2,7.14,,,10.14
Tilapia,26.53,1.61,7.55,0.232,26.34,7.13
Catfish,26.84,4.06,6.16,0.726,29.87,5.02
Bass,18.11,3.96,8.12,0.106,35.17,8.22
Bass,17.1,1.51,6.45,0.194,6.55,6.96
Trout,14.61,2.46,,0.147,7.3,9.28
Trout,10.44,0.53,6.67,0.179,18.09,9.68
Bass,16.52,5.52,6.42,0.118,26.66,5.08
Salmon,13.24,1.75,6.74,0.139,18.58,8.56
Tilapia,25.93,3.37,6.51,0.338,19.85,6.55
Tilapia,24.1,2.92,7.3,0.101,44.61,6.64
Catfish,20.34,4.4,6.18,0.766,39.35,5.84
Catfish,21.65,3.41,7.33,0.527,33.35,5.88
Goldfish,13.54,2.84,6.55,0.22,36.8,6.37
Salmon,6.36,0.77,7.89,0.063,0.34,10.59
Bass,20.56,3.7,7.45,0.253,46.79,6.31
Trout,15.2,1.61,6.71,0.044,12.37,8.94
Goldfish,14.75,3.77,7.42,0.461,32.79,5.7
Tilapia,29.73,1.57,7.38,0.116,43.89,4.05
Trout,7.24,2.71,6.6,0.197,6.89,8.78
Salmon,9.69,1.87,7.71,0.014,13.42,10.23
Trout,12.62,0.22,6.67,0.184,18.6,10.03
Tilapia,29.93,1.48,7.81,0.442,39.5,7.96
Tilapia,29.31,1.92,,0.045,2.95,6.52
Tilapia,26.77,3.67,7.15,0.222,17.5,5.44
Tilapia,29.29,3.85,7.05,0.372,30.06,7.59
Salmon,15.97,1.85,6.74,0.07,29.37,9.45
Goldfish,21.07,3.19,7.02,0.127,9.28,7.7
Tilapia,26.88,,8.31,0.32,17.31,4.05
Goldfish,23.99,1.14,7.67,0.43,37.39,6.31
Goldfish,13.21,3.17,7.5,0.129,24.41,8.15
Catfish,22.86,3.14,6.86,0.871,58.4,6.02
Goldfish,16.89,1.28,6.61,0.344,8.39,8.21
Goldfish,19.74,1.67,6.74,0.074,7.43,6.3
Bass,22.93,4.95,6.85,0.253,30.21,6.88
Salmon,5.78,0.84,6.76,0.188,20.85,7.46
Bass,26.16,4.71,6.45,0.071,29.92,5.55
Salmon,14.99,0.96,6.57,0.041,25.29,10.78
Tilapia,27.61,3.92,7.48,0.099,3.8,5.01
Goldfish,18.0,3.06,6.65,0.318,31.79,6.93
Bass,23.34,,7.99,0.078,12.3,8.58
Salmon,8.08,1.91,7.61,0.184,21.12,7.93
Catfish,21.16,3.0,7.04,0.601,29.01,4.5
Trout,14.68,2.5,6.66,0.071,11.2,10.67
Salmon,10.63,0.1,6.51,0.093,20.55,8.22
Tilapia,28.09,4.97,7.44,0.122,42.74,5.15
Tilapia,29.47,3.04,6.72,0.253,10.01,4.3
Trout,5.26,1.33,6.99,0.167,8.92,11.06
Catfish,25.02,9.81,6.74,0.805,24.99,5.66
Tilapia,26.94,2.24,7.56,0.012,42.16,6.88
Catfish,26.21,5.19,7.97,0.265,37.98,4.03
Goldfish,20.32,1.06,7.03,0.318,18.85,7.9
Bass,17.38,3.76,7.26,0.125,37.85,7.92
Catfish,22.93,9.39,6.73,0.283,18.95,3.87
Salmon,5.42,0.26,7.26,0.055,27.04,11.5
Goldfish,19.28,3.2,6.86,0.499,5.18,8.89
Trout,9.31,1.77,7.24,0.084,10.13,10.27
Catfish,26.6,9.7,6.04,0.458,48.03,5.0
Trout,15.72,,6.6,0.106,5.06,7.75
Tilapia,23.42,4.03,6.66,0.274,26.51,4.9
Tilapia,26.9,2.63,7.27,0.193,30.06,7.67
Trout,15.81,1.73,7.43,0.14,2.08,10.6
Goldfish,19.61,2.96,6.72,0.225,35.95,8.55
Catfish,27.61,2.3,7.47,0.139,31.32,3.68
Goldfish,21.66,3.72,7.03,0.143,31.03,8.77
Bass,22.87,3.75,6.81,0.038,24.58,
Catfish,21.65,,6.99,0.009,10.88,6.39
Bass,25.22,2.75,6.05,0.106,38.31,8.72
Bass,24.31,1.8,6.63,0.054,47.27,5.33
Salmon,8.43,1.32,6.92,0.137,14.46,10.82
Catfish,25.87,7.38,7.99,0.694,22.78,6.87
Goldfish,11.65,2.09,6.89,0.099,26.33,7.05
Tilapia,22.84,3.97,7.33,0.487,28.25,7.45
Trout,7.33,0.23,7.26,0.087,11.1,8.81
Trout,11.93,0.14,6.83,0.138,6.31,9.7
Bass,25.94,2.94,6.48,0.097,39.74,4.73
Tilapia,27.32,3.74,7.93,0.148,29.45,7.91
Salmon,15.39,1.56,7.86,0.166,24.57,8.99
Catfish,26.83,9.1,7.36,0.821,28.71,3.92
Bass,17.62,4.24,6.35,0.264,40.21,7.86
Goldfish,13.77,3.71,6.97,0.341,21.45,5.55
Goldfish,,1.88,6.51,0.129,5.63,8.18
Goldfish,17.13,3.74,7.22,0.338,,5.96
Tilapia,25.71,4.46,8.29,,14.0,6.85
Salmon,14.44,0.34,7.18,0.019,4.1,6.75
Salmon,4.73,1.14,6.82,0.103,6.23,7.14
Trout,10.12,2.44,6.78,0.182,14.93,11.89
Catfish,21.16,3.55,6.75,0.635,15.87,5.96
Tilapia,25.38,1.09,8.02,0.063,0.08,7.85
Bass,21.42,5.52,6.35,0.148,42.36,4.81
Catfish,21.65,7.15,7.68,0.409,42.34,6.64
Salmon,8.82,1.16,6.87,0.007,4.06,9.12
Goldfish,15.43,,7.81,0.5,32.31,8.41
Bass,15.05,4.47,7.06,0.247,19.15,5.19
Trout,6.61,0.96,6.66,0.081,1.62,9.52
Goldfish,20.75,2.98,7.66,0.278,18.28,6.59
Catfish,23.98,3.78,6.81,0.845,44.1,3.65
Trout,4.66,,7.49,0.171,15.01,8.18
Tilapia,25.66,3.85,6.66,0.219,24.63,4.18
Trout,12.05,1.59,6.69,0.012,3.74,9.02
Catfish,24.13,2.51,7.55,0.094,53.51,3.46
Bass,18.28,3.69,7.27,0.212,23.35,8.16
Tilapia,28.93,4.78,8.4,0.277,11.44,7.32
Salmon,9.74,0.18,7.5,0.03,4.39,6.1
Trout,12.72,2.54,7.85,0.18,13.72,10.56
Salmon,12.0,1.09,6.65,0.145,25.62,8.69
Bass,22.1,1.4,6.49,0.149,16.12,5.24
Bass,15.85,5.23,8.35,0.215,23.81,5.64
Salmon,9.71,1.18,7.93,0.046,12.44,10.96
Trout,15.43,2.14,6.86,0.084,16.7,9.02
Bass,15.87,5.36,7.03,0.173,25.13,8.61
Salmon,13.96,1.33,7.59,0.161,16.76,6.4
Salmon,10.87,,7.81,0.044,22.09,6.43
Trout,5.94,2.79,7.31,0.152,7.69,8.28
Trout,5.34,0.69,6.64,0.09,18.03,10.76
Bass,22.52,2.97,7.43,0.213,38.26,5.84
Bass,26.08,5.1,7.52,0.129,17.37,5.07
Bass,25.64,3.3,7.35,0.02,8.01,5.56
Salmon,13.48,0.63,7.92,0.174,11.03,9.06
Goldfish,18.21,2.27,7.27,,19.9,7.02
Trout,17.49,0.09,7.84,0.174,10.25,8.82
Salmon,5.83,1.43,6.69,0.08,7.38,6.53
Tilapia,25.89,2.85,6.97,0.421,7.92,4.11
Goldfish,21.54,3.35,6.73,0.26,15.17,8.56
Goldfish,,1.73,,0.423,12.59,7.85
Catfish,26.14,2.9,7.01,0.931,12.29,4.44
Salmon,12.88,1.6,7.79,0.056,21.72,
Trout,,1.37,7.42,0.122,6.61,9.08
Goldfish,17.41,3.53,7.16,0.149,4.47,7.22
Salmon,6.86,0.11,6.63,0.181,15.37,7.93
Salmon,7.0,1.07,7.31,0.085,1.09,6.9
Catfish,27.35,5.41,7.37,0.438,57.47,3.85
Trout,15.97,0.18,7.82,0.125,14.88,10.54
Salmon,,1.6,7.81,0.051,27.01,7.67
Catfish,21.2,7.21,7.17,0.267,38.9,3.57
Bass,24.54,2.26,7.72,0.146,25.77,6.96
Goldfish,18.66,3.78,6.92,0.05,39.74,5.24
Tilapia,24.24,2.88,6.88,0.187,32.93,5.79
Tilapia,,3.17,6.56,0.269,16.4,4.37
Catfish,20.1,8.5,7.25,0.166,27.51,4.15
Trout,10.41,2.14,6.99,0.155,11.34,11.12
Trout,9.57,1.51,7.98,0.19,19.0,7.75
Tilapia,28.19,2.72,8.34,0.148,26.78,5.18
Salmon,14.44,1.53,6.93,0.132,17.98,9.0
Trout,13.23,0.01,7.87,0.039,6.26,10.63
Trout,7.79,0.12,7.23,0.147,18.35,11.99
Goldfish,16.74,1.3,7.36,0.389,9.71,
Bass,19.92,1.04,6.69,0.132,44.05,8.98
Salmon,13.14,1.36,7.42,0.174,27.76,7.97
Salmon,11.78,0.28,7.71,0.067,,7.75
Trout,12.74,0.2,7.67,0.065,7.82,10.33
Tilapia,23.61,2.46,6.62,0.163,24.98,4.78
Goldfish,15.45,2.84,7.12,0.311,17.71,8.95
Goldfish,11.98,3.74,7.5,0.403,,6.58
Trout,15.08,2.16,7.76,0.165,17.27,7.46
Goldfish,20.59,1.51,7.78,0.434,11.51,8.66
Goldfish,12.18,3.07,6.89,0.473,20.99,6.9
Tilapia,23.72,3.91,8.39,0.27,16.85,5.23
Trout,10.8,2.86,7.41,0.089,8.16,
Catfish,26.76,7.48,6.93,0.925,12.44,6.54
Trout,17.5,0.3,7.79,0.179,5.23,7.02
Tilapia,26.24,2.66,8.4,0.144,0.15,7.87
Trout,6.01,2.07,7.56,0.01,10.95,12.0
Salmon,5.33,0.84,,0.029,28.33,11.51
Trout,5.41,1.18,7.37,0.181,11.22,7.06
Bass,18.91,3.09,7.49,0.04,25.61,7.18
Salmon,13.89,0.62,6.82,0.079,9.18,10.31
Salmon,8.87,1.21,7.65,0.009,3.96,8.79
Goldfish,19.49,3.52,7.13,0.32,18.76,8.89
Catfish,20.15,6.77,6.23,0.091,37.82,4.07
Salmon,4.65,0.26,6.78,0.034,6.72,8.73
Catfish,26.69,9.76,6.7,0.987,54.14,3.59
Tilapia,22.37,3.87,7.3,0.211,31.41,7.15
Tilapia,24.72,2.91,8.25,0.479,32.24,
Catfish,24.43,8.86,7.65,0.638,42.77,3.99
Salmon,11.59,1.24,7.89,0.147,5.21,9.97
Bass,20.16,5.08,8.14,0.151,23.85,8.43
Catfish,27.09,7.59,6.14,0.065,46.41,5.97
Trout,9.12,2.15,6.58,0.075,13.89,9.93
Tilapia,27.54,2.21,7.67,0.244,43.3,4.78
Trout,9.36,2.12,7.44,0.11,9.64,7.01
Goldfish,10.18,2.42,7.35,0.212,33.01,7.9
Salmon,4.37,1.45,7.85,0.174,17.0,7.75
Trout,10.29,0.24,7.83,0.068,15.97,10.25
Salmon,11.09,0.16,6.89,0.107,28.63,6.95
Goldfish,17.34,1.73,7.83,0.336,34.49,8.75
Trout,17.05,2.51,7.71,0.157,3.34,7.28
Trout,11.43,2.62,7.83,0.109,17.13,11.5
Tilapia,25.53,4.54,7.13,0.305,46.32,4.56
Salmon,14.11,0.66,7.77,0.178,13.41,9.39
Catfish,,2.58,7.61,0.46,15.3,4.73
Trout,7.72,1.17,6.84,0.111,1.31,10.47
Salmon,6.97,0.18,7.54,0.12,12.06,10.02
Goldfish,14.91,2.99,7.92,0.01,2.78,
Catfish,21.29,3.67,7.31,0.773,15.29,4.68
Salmon,14.61,0.58,7.66,0.056,4.39,11.25
Catfish,25.56,6.63,6.61,0.591,32.24,5.95
Catfish,21.18,9.55,6.73,0.349,18.17,3.9
Trout,4.41,1.79,7.57,0.036,11.67,9.25
Goldfish,14.63,2.38,7.07,0.058,8.53,7.81
Salmon,7.21,0.15,7.62,0.16,16.23,6.64
Goldfish,23.65,1.91,7.23,0.391,32.33,7.7
Bass,19.5,2.24,8.02,0.0,21.76,4.92
Bass,19.39,3.37,7.66,0.229,35.07,4.45
Goldfish,21.76,3.28,7.31,0.446,7.76,8.74
Tilapia,24.26,1.25,8.39,0.188,27.58,6.26
Tilapia,29.25,4.76,7.65,0.375,21.17,6.3
Goldfish,19.79,4.0,7.05,0.447,14.82,5.15
Goldfish,20.97,2.44,7.38,0.414,24.69,8.61
Goldfish,16.17,2.53,7.16,0.127,14.19,6.84
Bass,22.96,3.82,8.41,0.277,46.3,6.71
Tilapia,22.0,3.87,6.82,0.323,36.61,4.66
Salmon,6.29,1.34,7.07,0.114,21.59,9.68
Tilapia,25.13,3.91,8.3,0.383,1.83,4.05
Tilapia,22.32,2.1,8.36,0.021,47.62,4.81
Salmon,8.69,0.77,6.94,0.175,13.02,10.74
Trout,17.22,2.7,7.6,0.113,9.54,9.09
Goldfish,22.5,2.24,6.76,0.412,25.45,5.48
Trout,11.24,2.21,7.3,0.163,10.11,11.75
Catfish,23.31,2.17,6.06,0.825,55.54,
Salmon,15.7,0.92,6.61,0.119,2.18,11.13
Tilapia,26.38,1.1,6.65,,18.58,4.57
Bass,25.78,2.76,8.0,0.203,,4.71
Tilapia,29.65,4.03,7.78,0.029,23.91,6.95
Bass,24.67,4.35,7.56,0.042,9.02,7.59
Goldfish,19.47,3.02,7.27,0.431,18.7,6.13
Trout,8.59,2.12,6.8,0.02,1.36,
Salmon,7.48,0.02,7.55,0.161,7.48,7.98
Goldfish,20.56,3.79,7.43,0.204,31.19,8.76
Goldfish,21.12,3.08,6.59,0.453,19.51,6.43
Goldfish,13.99,2.42,7.61,0.183,13.2,6.07
Catfish,22.56,4.08,6.33,0.548,30.07,5.34
Salmon,6.06,,6.53,0.068,19.23,6.61
Goldfish,23.66,3.17,7.75,0.135,26.17,5.53
Goldfish,21.85,1.24,7.23,0.439,37.11,8.94
Bass,18.06,5.79,7.6,0.234,29.12,7.98
Tilapia,22.14,1.25,7.06,,47.9,5.48
Tilapia,26.36,3.42,6.98,0.458,36.08,6.42
Catfish,20.21,3.46,,0.515,17.32,5.54
Salmon,10.92,1.9,7.04,0.133,18.65,6.21
Trout,15.2,0.44,7.64,0.106,13.88,7.87
Bass,17.45,5.26,7.87,0.138,19.56,5.46
Tilapia,25.51,3.1,8.11,0.324,19.41,7.07
Catfish,21.16,2.22,7.33,0.226,49.16,3.13
Catfish,23.26,5.14,6.25,0.354,46.66,3.97
Bass,20.91,4.21,8.35,0.2,23.98,7.66
Salmon,4.06,1.94,7.63,0.102,9.93,11.31
Trout,15.91,0.64,6.97,0.125,7.51,9.01
Goldfish,18.2,1.79,7.08,0.042,24.99,7.94
Tilapia,29.28,1.74,8.22,0.442,45.09,5.51
Salmon,9.43,0.3,6.59,0.102,12.37,11.17
Trout,16.69,1.96,6.78,0.129,3.47,8.56
Goldfish,15.28,3.41,7.03,0.41,14.14,7.11
Catfish,25.63,3.67,7.86,0.713,24.65,4.92
Tilapia,27.22,4.18,6.97,,48.95,8.0
Tilapia,24.24,3.37,7.04,0.202,42.22,4.93
Trout,10.7,1.42,7.81,,10.51,7.01
Goldfish,10.91,2.31,7.5,0.117,39.72,8.95
Tilapia,27.02,4.11,8.44,0.07,23.21,6.38
Salmon,5.36,0.76,7.6,0.131,24.9,9.87
Goldfish,21.85,2.16,6.77,0.142,2.83,6.89
Salmon,15.26,0.66,7.01,0.025,1.49,7.89
Salmon,12.53,,6.67,0.098,21.03,7.29
Catfish,27.79,3.41,7.31,0.782,35.58,5.46
Bass,21.3,3.61,6.46,0.094,34.56,7.36
Bass,,5.01,6.39,0.293,9.84,5.98
Salmon,11.82,1.39,6.68,0.107,27.35,11.28
Bass,26.01,5.88,6.91,0.249,24.44,8.6
Tilapia,23.89,3.08,7.73,0.403,10.62,4.16
Salmon,10.99,1.57,7.72,0.023,16.96,11.61
Salmon,11.36,0.69,7.96,0.1,13.55,10.66
Bass,16.57,5.08,6.49,0.063,41.56,5.77
Bass,21.34,1.33,6.61,0.209,48.56,5.14
Bass,20.28,5.07,6.02,0.29,15.25,8.48
Catfish,26.09,8.52,6.67,0.766,23.49,6.19
Catfish,26.17,9.51,,0.792,16.52,4.53
Goldfish,12.53,2.31,6.77,0.064,17.68,8.2
Bass,21.64,4.64,6.06,0.083,24.46,6.19
Trout,14.76,0.63,7.81,0.147,12.86,9.93
Goldfish,16.93,1.79,7.24,0.047,14.42,6.34
Bass,15.95,2.72,7.1,0.219,5.34,4.51
Salmon,4.88,0.62,6.91,0.182,17.63,10.97
Salmon,9.58,0.6,7.28,0.028,27.21,9.73
Goldfish,23.01,2.24,6.53,0.283,23.07,7.75
Salmon,15.04,0.01,6.69,0.181,2.23,8.33
Bass,20.97,5.51,8.45,0.029,26.85,4.43
Tilapia,29.4,2.11,7.76,0.205,9.11,4.09
Salmon,11.51,0.14,6.53,0.034,15.22,10.71
Bass,25.26,1.57,7.31,0.089,40.64,7.35
Trout,10.24,0.4,7.3,0.087,17.59,9.84
Goldfish,13.97,3.65,6.77,0.001,33.88,5.84
Salmon,7.92,0.5,7.28,0.059,26.35,9.11
Salmon,14.26,0.05,7.06,0.151,6.09,10.16
Catfish,23.13,8.79,6.88,0.495,34.41,5.46
Trout,4.84,2.87,6.97,0.191,16.13,11.08
Tilapia,28.89,3.79,7.98,0.252,42.5,4.78
Salmon,8.64,0.56,6.92,0.09,21.95,11.0
Catfish,25.16,9.12,7.11,0.242,56.5,5.77
Trout,5.16,1.9,7.85,0.038,9.18,10.68
Catfish,22.43,3.08,7.61,0.389,58.12,3.49
Salmon,9.08,0.88,7.2,0.144,21.38,11.68
Trout,6.69,2.81,7.65,0.036,1.72,7.86
Trout,17.38,1.65,7.67,0.045,4.15,9.5
Tilapia,28.85,4.15,7.13,0.236,10.79,4.25
Goldfish,20.82,2.61,7.17,0.246,35.52,5.42
Trout,12.49,1.69,7.73,0.045,7.11,8.28
Tilapia,27.88,2.35,8.3,0.001,9.95,4.18
Trout,8.54,0.97,7.34,0.072,19.02,11.42
Bass,15.77,2.65,7.17,0.001,26.09,7.28
Trout,5.02,1.08,7.66,0.182,4.8,11.05
Trout,12.28,2.18,7.37,0.187,16.26,7.05
Trout,17.7,1.29,7.95,0.032,0.87,11.72
Tilapia,29.1,1.66,8.47,0.187,21.9,6.88
Goldfish,10.78,2.64,7.23,0.037,17.05,7.44
Trout,14.09,0.53,6.72,0.031,12.33,11.87
Catfish,24.21,7.2,6.27,0.413,25.17,6.35
Salmon,10.37,0.43,6.74,0.159,18.44,7.77
Trout,17.86,2.31,,0.122,9.4,8.37
Bass,24.05,1.91,6.21,0.111,35.75,6.8
Tilapia,28.86,4.48,6.98,0.287,46.27,4.85
Salmon,6.57,0.14,6.72,0.172,13.7,11.86
Tilapia,24.98,4.96,7.81,0.085,4.66,5.24
Salmon,14.24,0.08,7.66,0.071,21.74,11.64
Tilapia,26.47,4.51,6.63,0.493,14.13,4.29
Catfish,23.95,,6.11,0.263,11.96,6.81
Trout,8.25,2.79,6.87,0.107,1.93,9.73
Trout,14.32,1.42,7.33,0.006,18.32,9.81
Tilapia,23.26,4.57,6.82,0.405,5.89,5.85
Tilapia,25.17,4.7,6.84,0.089,22.02,5.37
Salmon,9.45,1.92,7.04,0.15,17.45,9.22
Goldfish,12.77,3.1,7.78,0.35,39.37,
Bass,23.46,4.37,6.2,0.189,43.28,4.07
Tilapia,22.29,3.47,7.21,0.281,34.59,5.75
Salmon,8.62,1.98,7.66,0.174,11.87,6.89
Goldfish,14.62,2.53,6.76,0.23,24.85,7.78
Trout,6.68,1.39,7.49,0.015,11.86,9.9
Catfish,27.64,9.79,7.41,0.601,29.95,5.24
Trout,12.06,1.35,,0.002,16.09,8.23
Goldfish,13.2,1.45,6.54,0.306,16.87,8.32
Salmon,5.51,1.92,7.11,0.156,18.78,9.73
Tilapia,24.5,1.42,7.66,0.167,24.41,7.53
Catfish,27.54,7.46,6.26,0.53,32.78,4.63
Bass,16.92,3.66,6.11,0.214,29.16,6.78
Tilapia,24.89,3.18,7.62,0.246,31.41,4.81
Catfish,23.74,4.1,7.15,0.77,12.66,4.21
Bass,17.58,1.38,6.04,0.256,22.92,8.15
Goldfish,14.55,2.13,7.98,0.306,34.27,8.05
Goldfish,12.39,1.99,7.81,0.405,4.39,8.8
Salmon,4.7,0.13,7.12,0.159,28.63,9.14
Tilapia,27.86,2.22,6.94,0.402,33.33,5.86
Catfish,24.98,9.12,7.03,0.686,20.07,3.43
Salmon,13.26,0.78,6.76,0.024,10.78,8.58
Salmon,7.98,0.03,6.92,0.132,23.35,8.11
Salmon,9.67,0.86,7.91,0.15,19.9,7.64
Catfish,26.64,7.73,6.71,0.997,22.9,3.66
Goldfish,11.6,1.91,6.95,0.37,13.95,8.61
Trout,8.35,0.19,7.18,0.134,7.23,10.82
Goldfish,23.51,2.13,6.88,0.279,28.49,8.54
Tilapia,22.32,4.11,7.08,0.176,26.1,5.02
