Fish Species,Temperature (°C),pH,Turbidity (NTU),Dissolved Oxygen (mg/L)
Bass,21.78,6.89,18.95,9.2
Bass,23.17,6.97,38.82,8.91
Clownfish,27.38,8.24,1.86,6.82
Catfish,24.66,6.78,29.31,6.77
Clownfish,24.69,8.11,3.71,6.49
Tilapia,24.96,7.36,38.3,4.52
Bass,20.1,6.23,48.72,8.51
,13.65,6.76,5.09,11.94
Trout,10.27,7.36,8.11,8.78
Salmon,13.57,7.42,,
Tilapia,24.64,7.46,40.97,6.15
Trout,10.86,7.42,6.67,9.56
Bass,24.2,6.84,48.75,9.6
Trout,11.5,7.25,3.03,11.44
Tilapia,28.97,7.78,34.44,7.03
Eel,13.29,6.57,22.6,4.39
Tilapia,23.64,7.73,49.02,4.21
Clownfish,26.35,7.89,0.93,7.71
Trout,14.47,6.75,6.53,8.4
Catfish,27.44,6.13,38.8,3.73
Eel,14.53,7.43,23.39,6.39
Catfish,26.23,6.27,27.91,6.02
Trout,12.77,6.75,3.19,11.8
Catfish,23.11,7.91,33.01,6.09
Trout,10.4,,3.81,11.42
Bass,24.67,7.38,16.57,6.89
Catfish,23.44,7.68,81.59,4.76
Catfish,24.24,,54.78,6.05
Tilapia,24.28,7.29,35.15,4.55
Catfish,23.46,6.01,,3.64
Bass,18.54,6.47,48.31,7.92
Tilapia,27.25,7.29,45.2,4.71
Catfish,22.99,6.92,28.8,6.07
Eel,13.64,6.83,16.81,6.15
Trout,14.55,6.88,4.67,11.51
Catfish,25.69,7.87,12.45,6.07
Eel,15.03,6.04,13.46,4.3
Bass,17.9,7.23,40.63,6.11
Salmon,10.64,6.52,4.17,12.0
Trout,11.34,6.75,3.22,11.57
Eel,8.38,6.13,23.38,4.73
Catfish,24.75,6.3,29.82,3.0
Trout,10.88,7.34,1.74,9.41
Bass,22.56,6.08,38.55,8.12
Bass,24.81,7.25,11.16,9.52
Clownfish,25.98,8.0,3.11,7.15
Clownfish,24.84,8.14,4.87,7.17
Tilapia,29.58,6.88,22.81,4.64
Eel,16.19,7.39,12.53,5.54
Eel,10.88,6.41,22.87,7.93
Clownfish,27.17,8.38,2.83,5.39
Trout,17.78,7.09,6.69,7.85
Eel,6.57,7.8,27.4,4.45
Clownfish,,8.28,3.39,5.55
Eel,20.97,6.29,20.92,3.2
Clownfish,24.98,8.18,1.21,5.77
Goldfish,14.26,7.39,9.86,6.79
Catfish,,6.53,97.74,6.95
Salmon,11.81,6.75,4.17,8.62
Salmon,13.23,7.37,2.69,9.91
Goldfish,13.34,7.48,5.04,5.45
Clownfish,24.35,8.05,0.28,6.54
Bass,22.13,6.55,16.3,7.82
Goldfish,22.85,7.06,5.46,6.75
Tilapia,26.23,7.74,44.28,4.27
Clownfish,24.09,7.95,3.11,7.59
Trout,13.33,6.85,3.16,7.79
Eel,,7.77,22.67,4.32
Catfish,27.09,6.14,44.84,3.67
Bass,17.45,7.48,44.78,9.17
Salmon,9.83,7.11,2.07,7.51
Trout,17.02,7.39,2.25,9.7
Clownfish,26.96,8.13,1.98,7.22
Tilapia,27.81,7.83,26.47,4.2
Goldfish,12.92,7.89,5.76,6.53
Tilapia,26.57,7.92,49.0,5.64
Bass,15.33,6.2,15.93,4.2
Bass,18.3,7.25,26.71,
Goldfish,18.2,,14.32,6.48
Goldfish,22.09,7.97,17.66,5.2
,27.71,8.39,2.05,6.65
Trout,15.69,6.71,7.44,7.29
Salmon,13.93,7.34,1.84,9.2
Catfish,,6.69,72.95,6.34
Goldfish,17.62,7.8,13.02,5.74
Tilapia,28.69,7.09,42.86,6.91
Clownfish,26.15,,0.76,7.49
Goldfish,18.64,7.08,12.91,7.96
Goldfish,14.61,7.47,15.78,5.45
,14.46,7.32,8.53,8.48
Bass,19.84,6.92,48.83,6.27
Catfish,24.58,7.6,83.01,4.34
Trout,15.27,7.38,2.7,10.9
Goldfish,10.99,8.39,5.18,
Bass,20.64,7.15,16.8,4.24
Trout,10.28,6.96,6.12,11.16
Salmon,12.43,7.4,3.43,10.49
Salmon,12.85,7.17,6.68,10.91
Eel,17.56,7.01,14.69,4.35
Salmon,10.3,7.29,9.05,11.23
Bass,16.86,7.32,11.53,8.36
Goldfish,10.66,,19.86,7.74
Bass,23.98,6.81,47.96,7.42
Goldfish,20.16,8.14,17.91,5.37
Trout,12.35,7.23,8.22,10.28
Trout,13.29,7.12,3.24,7.96
Salmon,9.32,7.15,6.76,10.17
Catfish,24.71,7.39,41.76,4.76
Tilapia,29.04,7.52,15.65,4.8
Tilapia,23.28,7.6,40.51,8.0
Bass,18.49,,8.48,8.25
Catfish,20.04,6.83,6.59,4.73
Tilapia,23.59,6.78,44.49,4.73
Salmon,8.94,7.34,9.38,10.81
Eel,7.28,6.87,29.47,3.99
Eel,10.47,7.57,14.33,3.92
Bass,18.1,7.18,45.62,5.49
Tilapia,27.18,,28.87,6.22
Tilapia,26.01,6.84,46.8,
Bass,18.53,6.22,11.46,5.37
Catfish,25.28,6.63,88.09,5.55
Bass,20.05,6.16,13.39,4.24
Salmon,13.47,7.5,9.07,11.67
Goldfish,14.03,7.41,10.84,5.69
Eel,16.65,7.69,18.07,5.34
Bass,24.63,7.48,36.72,5.94
,14.98,7.27,,7.06
Goldfish,22.31,8.33,12.38,7.84
Bass,24.14,7.15,35.31,4.68
Eel,10.0,7.36,27.28,3.81
Clownfish,26.66,8.32,4.19,6.95
Bass,16.51,6.44,5.63,4.78
Bass,21.15,7.39,34.34,7.44
Trout,17.21,6.75,7.07,10.3
Tilapia,24.18,6.58,,4.92
Bass,17.01,6.16,42.75,8.66
Goldfish,18.09,7.6,6.79,7.38
Bass,22.14,6.76,37.13,7.08
Trout,14.34,,3.37,7.97
Goldfish,23.47,7.73,16.24,7.66
Salmon,11.0,7.49,0.23,8.03
Goldfish,14.32,7.54,10.95,5.23
Trout,17.25,7.49,8.64,9.85
Bass,17.1,6.94,14.69,5.93
Goldfish,10.82,8.33,6.14,7.69
Catfish,20.38,7.16,87.58,
Salmon,12.28,7.47,7.07,11.28
Clownfish,,,1.92,6.85
Trout,11.66,7.34,9.38,9.35
Trout,16.58,6.64,0.87,11.41
Bass,18.92,,47.7,7.88
Clownfish,25.83,8.19,2.41,5.96
Tilapia,22.82,7.49,32.68,5.36
Salmon,14.07,6.65,2.31,6.09
Bass,21.69,6.64,46.5,4.41
Tilapia,25.4,7.18,41.18,7.87
Salmon,,6.94,5.05,9.65
,20.56,6.05,26.98,4.85
Goldfish,15.68,7.79,11.49,5.25
Salmon,14.45,6.68,4.99,6.93
Salmon,12.37,6.68,6.66,11.25
Salmon,13.93,6.64,0.1,11.29
Eel,18.44,6.49,17.0,4.78
Catfish,25.75,7.82,76.3,3.9
Clownfish,24.72,8.39,2.94,7.64
Eel,22.78,6.43,17.55,7.79
Bass,23.01,7.3,20.02,7.04
Trout,14.6,7.49,3.68,10.68
Clownfish,,8.35,0.9,7.51
Eel,10.02,7.67,25.34,5.1
Clownfish,26.81,7.99,0.72,6.39
Goldfish,23.34,7.5,10.73,5.01
,25.86,8.31,1.03,7.15
Eel,11.1,7.91,29.98,5.25
Tilapia,25.09,7.54,25.42,6.57
Bass,19.4,6.72,22.97,6.65
Goldfish,16.11,8.45,9.12,6.52
Tilapia,23.37,6.53,18.1,6.87
,14.33,7.68,16.19,7.98
Clownfish,26.3,8.05,3.17,6.8
Goldfish,15.94,7.14,15.7,7.82
Eel,12.44,6.19,26.42,3.28
Salmon,11.3,6.69,6.46,11.09
Catfish,25.25,,91.43,5.91
,10.22,7.45,0.3,7.57
Catfish,26.82,7.31,47.66,5.4
Clownfish,25.12,8.26,3.41,5.53
Goldfish,14.9,7.67,16.83,7.86
Trout,10.22,6.57,2.45,10.85
Trout,17.65,7.22,4.06,7.2
Eel,14.88,7.28,19.06,4.0
Eel,5.19,6.91,28.77,6.36
Trout,15.71,7.18,0.91,11.29
Goldfish,18.11,8.24,8.25,5.69
Bass,23.29,6.34,11.51,7.09
Eel,9.13,6.72,27.16,7.06
Trout,10.57,6.97,5.1,11.34
Goldfish,15.01,8.02,16.39,5.2
Eel,8.19,7.93,21.16,3.83
Clownfish,24.17,8.38,2.74,5.76
Tilapia,28.34,7.12,29.05,4.47
Catfish,24.99,7.98,71.98,3.77
Tilapia,25.99,7.27,48.45,7.61
Eel,21.03,7.95,11.24,7.63
Clownfish,26.87,8.06,4.77,6.03
Bass,18.7,6.28,23.58,5.15
Goldfish,12.93,8.3,16.96,7.47
Trout,12.48,,4.31,9.72
Goldfish,13.16,7.09,6.6,5.25
Bass,22.46,,16.91,7.58
Salmon,12.68,6.86,1.96,10.0
Salmon,13.46,7.41,0.02,7.95
Clownfish,27.96,7.87,3.74,7.71
,22.9,7.88,69.19,4.27
Clownfish,24.66,7.99,4.14,5.15
Eel,8.34,7.24,24.63,4.3
Catfish,21.93,6.71,88.5,5.64
Bass,15.94,7.1,39.71,7.99
Clownfish,24.3,8.04,1.27,6.35
Eel,,7.32,12.41,7.16
Eel,20.9,7.32,26.75,5.26
Salmon,13.92,7.2,7.04,7.31
Goldfish,16.25,7.55,14.66,6.21
Bass,15.81,7.22,29.05,4.02
Salmon,14.04,6.54,4.64,
Catfish,25.45,6.25,71.77,5.33
Eel,14.22,7.95,18.26,7.82
Bass,,,36.54,9.17
Eel,17.38,7.33,19.09,5.58
Tilapia,27.27,6.9,48.2,4.19
Tilapia,22.12,6.83,42.57,6.64
Clownfish,27.44,8.24,4.84,6.5
Eel,24.57,6.75,13.25,6.35
Goldfish,22.6,7.35,8.82,7.97
Bass,21.84,7.17,25.64,9.82
Trout,10.71,7.43,1.79,7.29
Eel,23.01,7.19,29.1,4.72
Salmon,13.51,6.89,6.34,10.69
,16.94,6.21,33.7,7.29
,11.97,6.67,6.27,10.01
Tilapia,24.69,6.52,17.38,7.1
Eel,16.01,7.52,22.07,7.08
Bass,15.95,6.71,47.4,6.34
Salmon,12.82,6.82,7.48,7.21
Clownfish,24.13,8.04,1.13,5.29
Eel,21.34,,20.13,5.66
Tilapia,22.21,6.52,11.87,7.07
Catfish,21.92,6.11,48.83,3.29
Salmon,11.26,7.1,1.68,9.76
Tilapia,27.8,7.75,27.28,5.23
Clownfish,25.96,8.18,3.69,5.65
Tilapia,25.27,7.35,17.13,4.38
Bass,20.5,6.2,,8.26
Tilapia,28.52,7.19,15.76,6.12
Salmon,11.36,6.83,4.27,8.34
Goldfish,10.37,8.1,17.45,
Eel,7.85,7.93,21.98,5.75
Tilapia,22.44,6.72,13.55,6.01
Bass,21.66,6.85,13.42,6.92
Eel,11.76,6.45,20.51,6.97
Eel,13.69,6.34,16.6,7.56
,21.82,6.06,34.65,8.21
Catfish,23.97,6.72,89.11,3.16
Goldfish,10.03,7.14,9.36,7.87
Goldfish,14.87,7.8,14.61,5.48
Catfish,,6.35,20.21,5.66
Tilapia,27.16,7.25,37.96,5.63
Goldfish,16.24,7.96,8.01,6.29
Bass,19.36,7.38,46.41,4.73
Bass,16.05,6.08,8.87,9.03
Salmon,12.27,7.28,2.49,11.35
Clownfish,26.0,7.82,3.66,6.81
Catfish,21.49,6.13,75.74,4.59
Bass,20.49,6.08,17.14,9.41
Tilapia,29.13,7.59,13.85,7.91
Goldfish,24.08,7.62,15.67,5.44
Tilapia,29.42,7.21,11.95,
Clownfish,25.14,8.32,1.04,7.22
Tilapia,22.57,7.41,,4.16
Clownfish,24.16,8.39,2.39,
Trout,13.72,,3.81,9.98
Goldfish,23.91,7.32,15.42,5.12
Salmon,10.04,6.59,0.03,8.43
Salmon,12.04,7.22,9.22,10.44
Catfish,24.68,6.67,73.86,4.13
,13.55,7.47,19.18,6.6
Eel,11.73,7.5,16.29,4.51
Tilapia,24.69,6.66,44.92,5.15
Bass,23.02,6.47,25.62,5.5
Eel,7.13,6.07,24.59,3.17
Salmon,13.5,6.8,7.72,6.57
Clownfish,25.6,8.03,0.53,
Tilapia,28.3,7.14,23.07,4.3
Eel,,6.44,16.68,7.69
Goldfish,23.65,7.68,16.47,5.92
Catfish,23.82,6.34,51.05,6.89
Eel,23.98,7.29,18.59,3.63
Clownfish,25.02,7.95,0.34,7.11
Salmon,8.84,6.89,9.76,8.78
Salmon,9.23,6.98,2.47,8.57
Salmon,11.17,7.45,1.91,11.04
Catfish,20.03,7.56,74.03,6.77
Catfish,25.49,7.31,41.01,4.98
Clownfish,,7.96,3.56,6.58
Bass,24.93,6.55,15.78,5.16
Salmon,14.3,7.37,6.06,9.98
Clownfish,25.71,8.39,0.1,5.19
Eel,19.89,6.09,23.03,3.05
,9.28,7.18,6.42,9.33
Trout,15.84,6.76,5.83,8.65
Bass,22.17,6.64,21.73,5.49
,,8.31,11.61,6.88
Salmon,12.57,6.63,1.6,7.23
Clownfish,26.04,8.3,2.37,6.69
Goldfish,15.99,8.23,18.73,5.88
Tilapia,28.6,7.67,15.65,6.43
Tilapia,28.67,,28.8,4.54
Tilapia,24.52,7.91,10.32,4.23
Goldfish,22.69,7.65,8.76,7.51
Salmon,10.3,7.21,6.34,7.64
Catfish,26.42,6.28,38.42,6.28
Goldfish,23.28,7.85,16.43,5.26
Goldfish,24.65,8.32,14.45,5.07
Goldfish,22.77,8.28,7.18,6.82
Trout,11.73,6.5,6.64,11.65
Eel,8.22,7.12,16.99,7.51
Trout,17.79,7.17,6.69,8.0
Eel,5.93,7.2,27.21,3.57
Catfish,21.77,6.97,36.22,3.1
Catfish,20.12,6.33,38.63,6.65
Trout,14.87,6.65,7.6,7.47
Salmon,8.68,7.3,4.77,7.58
Trout,14.6,6.93,6.97,9.19
Tilapia,28.6,6.95,44.77,5.8
Tilapia,22.15,6.77,44.15,7.52
Catfish,23.55,6.63,5.36,6.77
Eel,14.0,6.23,29.12,4.1
Eel,8.04,7.15,29.91,7.87
Trout,11.4,7.12,8.31,10.9
Trout,11.74,6.62,5.78,8.26
Salmon,10.24,6.73,2.47,8.09
Salmon,10.73,6.55,0.37,9.87
Catfish,20.68,6.56,60.14,
Eel,19.46,6.39,14.67,4.16
Salmon,12.31,7.04,5.03,6.98
Tilapia,24.23,7.74,47.38,6.91
Salmon,12.37,7.03,1.02,7.04
Salmon,14.32,6.97,0.45,11.04
Goldfish,17.0,8.04,9.31,
Goldfish,24.54,7.22,5.75,5.14
Trout,11.9,,2.65,7.44
Tilapia,22.02,7.25,28.93,4.13
,20.36,7.77,11.27,5.79
Salmon,12.94,6.97,0.08,8.82
Bass,17.58,7.31,15.71,8.13
Salmon,10.43,7.09,5.0,6.26
Eel,9.47,7.09,17.41,4.23
Tilapia,24.65,7.57,39.79,7.84
Trout,11.15,7.18,,10.22
Tilapia,27.98,7.27,38.16,6.79
Tilapia,24.07,6.86,46.84,7.7
Eel,19.46,7.79,11.56,4.91
Goldfish,14.41,7.23,15.19,7.34
Catfish,20.57,,23.62,6.66
Catfish,22.9,6.85,55.07,5.47
Eel,20.11,6.93,27.64,7.98
Trout,13.12,6.64,2.27,10.7
Clownfish,27.84,7.82,3.06,7.65
Catfish,20.27,6.38,21.66,5.24
Eel,8.46,6.56,28.0,5.07
Eel,14.7,7.53,17.46,7.8
Tilapia,27.6,7.75,12.29,5.79
Goldfish,11.39,8.33,10.87,7.44
Eel,21.87,7.89,15.87,7.47
Tilapia,28.16,7.58,14.72,5.76
Salmon,11.05,6.95,8.5,6.96
Bass,19.55,7.02,18.27,4.25
Catfish,,6.91,51.1,4.44
Salmon,10.25,7.08,0.56,9.77
,17.87,6.23,5.09,4.85
Clownfish,27.59,8.12,3.85,5.38
Eel,21.42,6.2,15.79,4.08
Tilapia,,7.83,25.69,5.36
Eel,12.41,6.51,10.06,6.78
Trout,16.54,6.98,1.19,10.92
Catfish,20.57,6.46,68.67,4.13
Trout,14.22,7.02,0.65,7.82
Eel,5.52,7.46,26.82,7.57
Eel,18.99,7.54,11.54,5.74
Tilapia,28.3,7.97,18.12,
Catfish,26.53,6.16,,5.81
Salmon,8.72,6.93,7.75,6.67
Bass,21.93,6.64,33.2,9.92
Clownfish,27.05,8.24,2.81,
Eel,17.95,7.72,10.26,3.69
Goldfish,11.45,8.08,6.25,6.21
Trout,13.73,6.92,1.29,11.35
Goldfish,19.67,7.36,8.15,6.59
Salmon,9.24,7.37,0.82,7.07
Catfish,25.49,6.73,35.64,3.11
Clownfish,25.9,7.89,2.04,6.53
Clownfish,25.14,7.91,2.96,5.57
Goldfish,20.81,7.4,18.87,7.47
Bass,19.09,6.32,22.41,8.81
Salmon,13.26,7.05,2.1,
Clownfish,24.43,8.29,4.19,6.23
Clownfish,24.06,8.13,0.62,5.24
Eel,6.53,7.48,29.44,7.16
Tilapia,29.26,7.89,33.67,7.47
Bass,15.58,6.24,21.9,8.29
Goldfish,16.67,7.54,15.73,7.98
Goldfish,23.86,8.5,14.64,5.75
Goldfish,16.23,7.22,15.25,5.29
Catfish,22.09,6.72,96.82,6.68
Catfish,,7.51,90.23,3.77
Bass,18.99,,33.65,7.92
Eel,13.84,6.85,29.62,4.03
Clownfish,,8.22,4.52,6.24
Eel,23.69,7.64,14.04,5.42
Trout,13.44,6.55,9.8,7.26
Goldfish,13.59,7.0,7.69,7.62
Goldfish,12.93,8.28,8.1,6.12
Salmon,14.03,6.77,0.44,11.18
Salmon,9.44,7.17,8.77,9.08
Eel,14.44,7.54,14.92,3.26
Clownfish,24.31,7.88,2.74,7.07
Tilapia,24.68,7.4,11.71,4.98
Salmon,12.07,6.64,9.36,11.03
Clownfish,26.15,7.98,1.36,7.52
Eel,10.22,6.53,29.51,4.77
,16.96,7.35,31.9,8.33
Clownfish,27.51,8.32,2.41,6.81
Salmon,10.22,6.56,2.74,10.75
Eel,18.33,6.9,21.77,4.67
Goldfish,23.64,7.52,6.06,6.8
Goldfish,13.66,8.19,7.2,5.57
Salmon,12.48,7.03,6.89,11.59
Bass,24.14,6.56,28.8,5.56
Bass,,6.67,47.26,4.29
,10.71,7.4,8.78,8.7
Clownfish,26.57,7.97,3.17,5.33
Bass,17.02,6.15,17.26,9.87
Eel,13.58,6.81,25.04,
Clownfish,26.3,,1.49,6.5
Trout,,6.57,4.79,7.61
Tilapia,,6.54,43.28,6.7
Trout,13.95,6.55,7.94,9.59
Bass,16.02,7.11,48.05,7.3
Salmon,9.02,6.75,4.5,11.13
Goldfish,23.22,7.54,15.97,6.04
Clownfish,,7.96,3.23,6.87
Goldfish,25.0,7.51,14.07,5.87
Trout,14.82,7.46,,9.36
Tilapia,22.03,,12.87,4.23
Salmon,12.31,7.43,,11.37
Tilapia,25.39,6.79,16.7,7.46
Salmon,12.87,7.2,1.09,7.47
Salmon,10.65,7.2,7.9,7.69
Clownfish,27.56,8.1,2.4,6.16
Salmon,13.69,6.76,,11.17
Trout,13.94,6.92,0.0,
Catfish,27.0,6.32,97.54,3.23
Trout,12.73,6.81,8.22,8.06
Trout,11.54,7.07,2.48,10.34
Trout,11.59,6.59,1.2,9.96
Salmon,8.92,,2.47,10.21
Trout,10.05,6.63,3.65,7.45
Tilapia,28.43,7.53,13.29,4.46
Bass,19.36,6.01,39.58,8.52
Tilapia,23.34,7.84,40.08,7.45
Goldfish,11.74,7.84,15.09,5.7
Tilapia,26.11,6.87,48.4,7.6
Bass,19.69,7.29,11.3,5.74
Goldfish,13.1,,9.08,5.49
Goldfish,19.56,7.77,6.09,5.13
Eel,14.94,7.64,21.79,6.84
Catfish,27.88,7.71,5.89,5.63
,13.8,6.66,5.45,8.59
Catfish,26.25,6.17,18.01,4.16
,17.29,7.71,13.04,7.53
Salmon,13.89,7.21,1.88,7.97
Salmon,13.22,6.95,0.05,6.7
Salmon,11.94,6.83,6.45,10.59
Clownfish,27.97,8.34,1.99,6.08
Eel,9.36,6.73,15.55,4.97
Goldfish,19.35,7.72,8.05,5.42
Tilapia,29.57,7.07,33.42,6.29
Clownfish,24.69,8.13,0.02,6.16
Trout,11.58,7.33,4.96,11.56
Clownfish,27.49,,,6.64
Bass,22.43,6.12,12.71,8.77
Clownfish,24.52,7.86,1.87,6.29
Eel,5.27,7.63,25.59,4.27
Catfish,26.83,6.2,66.42,5.06
Tilapia,25.4,6.81,26.82,6.22
Trout,10.74,7.05,9.05,10.31
Salmon,8.37,7.02,1.53,10.54
,15.49,7.33,25.33,8.35
Clownfish,24.73,8.21,0.98,5.94
Eel,17.11,7.15,,4.14
Catfish,23.13,6.97,85.01,4.9
Eel,5.47,7.7,,
Eel,10.0,6.09,26.61,6.05
Trout,11.17,7.4,3.27,7.78
Bass,17.15,6.78,19.77,7.68
Eel,5.56,6.63,24.98,7.78
Bass,20.27,,37.29,9.6
Goldfish,24.51,7.44,14.64,7.52
Catfish,23.89,6.6,35.49,4.7
Salmon,8.23,,9.83,7.91
Clownfish,26.83,8.15,4.84,5.68
,,8.22,3.22,7.99
Catfish,21.65,7.07,65.04,3.7
Salmon,8.88,,6.76,6.97
Tilapia,24.48,6.57,29.33,4.83
,23.63,6.93,56.13,5.12
Salmon,8.52,,9.34,9.82
Bass,15.22,6.67,,7.03
Tilapia,27.42,7.09,17.94,5.67
Salmon,10.22,7.19,0.53,7.42
Tilapia,27.55,7.04,13.22,6.05
Goldfish,11.97,7.83,7.21,5.29
Catfish,25.99,7.5,57.54,3.76
Bass,19.45,6.67,44.25,
Trout,14.58,6.6,1.13,8.52
Bass,22.05,6.15,28.85,7.72
Clownfish,26.3,,1.74,6.36
Salmon,10.39,6.79,,6.89
Salmon,9.93,7.38,7.53,10.26
Clownfish,,7.85,2.71,6.88
Tilapia,23.25,,24.68,4.16
Salmon,9.2,7.02,7.75,11.09
Clownfish,27.24,8.33,1.3,6.44
Tilapia,24.74,7.03,22.24,7.09
Goldfish,19.78,7.57,14.28,5.02
Trout,16.13,6.8,7.79,9.26
Salmon,13.88,6.89,6.6,8.11
Goldfish,18.39,7.05,14.36,6.69
Catfish,25.22,7.53,73.82,6.87
Tilapia,22.05,7.24,47.35,7.35
Catfish,20.42,6.19,53.36,4.09
Clownfish,,8.1,1.27,5.66
Tilapia,25.2,6.61,40.38,7.12
Catfish,26.53,6.25,19.81,5.88
Goldfish,13.55,8.34,17.89,6.83
Goldfish,20.51,8.33,6.22,7.53
Tilapia,23.55,,46.91,6.29
Clownfish,27.87,7.95,1.66,5.58
Salmon,11.18,6.76,8.38,6.23
Clownfish,27.64,8.19,3.82,7.79
Tilapia,23.15,6.65,39.3,
Tilapia,23.22,7.1,42.99,7.15
Eel,20.48,,22.74,5.75
Clownfish,25.03,7.94,3.86,6.2
Salmon,14.82,,1.99,8.88
Salmon,9.1,7.27,1.65,11.42
Goldfish,15.57,7.99,10.22,7.32
Salmon,11.23,6.79,3.17,9.78
Salmon,8.32,6.51,2.27,7.3
Salmon,9.06,6.64,7.14,6.1
Clownfish,26.23,7.82,0.45,6.11
Tilapia,23.84,6.8,47.37,6.48
Bass,19.34,6.19,49.02,9.58
Salmon,9.06,6.94,5.74,6.06
Trout,12.21,6.64,8.59,8.92
Clownfish,25.65,8.26,1.64,
Clownfish,26.67,8.37,2.76,5.18
Goldfish,22.96,7.6,7.41,7.34
Goldfish,11.76,7.1,17.83,7.43
Goldfish,18.27,8.25,9.7,7.12
Goldfish,12.61,8.13,15.74,6.82
Goldfish,11.29,7.9,5.0,6.96
Goldfish,21.19,7.42,12.42,5.03
Tilapia,23.7,7.55,45.13,4.93
Trout,15.91,7.14,0.17,10.71
Goldfish,12.5,,19.82,5.07
Tilapia,25.01,7.14,43.05,4.1
Clownfish,27.57,8.05,3.33,7.97
Catfish,27.71,7.64,74.16,5.69
,12.26,7.06,9.7,9.9
Bass,19.73,6.07,32.85,4.16
Goldfish,24.89,7.49,13.62,5.04
Eel,23.05,6.93,27.29,3.6
Salmon,9.98,6.64,,9.54
Clownfish,27.58,7.93,1.33,5.28
Catfish,26.27,7.87,,
Tilapia,29.51,7.64,31.5,7.71
Catfish,23.1,7.89,45.57,6.47
Catfish,20.76,6.74,58.06,6.64
Bass,18.84,7.01,39.99,5.22
Eel,15.9,,19.31,5.69
Bass,19.9,7.19,46.26,8.16
Salmon,9.84,7.2,8.81,10.3
Bass,22.04,6.28,47.4,8.3
Goldfish,18.3,7.27,8.91,5.23
Eel,7.11,6.57,,6.1
Tilapia,29.2,7.97,25.77,4.23
,20.18,6.1,,3.98
Trout,16.26,6.81,5.65,9.97
Eel,12.36,7.3,11.03,7.47
Catfish,27.16,7.19,96.85,5.56
Clownfish,24.87,8.15,0.99,6.91
Catfish,27.72,6.81,70.53,3.29
Catfish,22.61,7.75,39.23,3.92
Clownfish,24.55,7.8,1.42,6.52
Salmon,13.82,6.86,6.28,8.09
Clownfish,27.82,8.28,1.73,5.11
Catfish,22.48,7.23,15.18,3.66
Tilapia,22.64,6.64,19.16,4.82
Tilapia,,6.72,,7.54
Eel,6.86,7.77,16.64,4.86
Salmon,13.31,6.79,8.2,9.98
Goldfish,19.18,7.0,7.55,7.15
Tilapia,23.24,8.0,12.26,4.69
Catfish,26.46,7.2,6.7,5.39
Clownfish,25.26,8.18,3.4,6.7
Salmon,8.45,7.21,5.99,10.36
Tilapia,24.27,7.26,29.35,6.97
Salmon,10.63,7.18,7.76,9.7
Catfish,20.33,6.82,23.71,3.98
Tilapia,,7.16,46.38,6.78
Trout,12.88,7.25,0.78,9.89
Goldfish,21.91,7.96,13.42,6.55
Bass,16.45,6.45,21.13,5.88
Salmon,13.43,6.67,5.72,10.7
Tilapia,23.46,7.66,32.93,5.55
Tilapia,29.64,6.53,43.94,5.15
Tilapia,25.58,7.23,34.83,7.42
Clownfish,26.59,8.2,1.49,6.55
Trout,16.35,6.75,1.4,7.64
Bass,19.72,6.68,,6.03
Goldfish,18.78,8.44,12.57,6.37
Trout,10.59,7.48,6.08,11.04
Tilapia,29.32,6.59,43.75,7.65
,26.22,6.9,99.51,6.85
Clownfish,24.53,7.81,2.29,5.35
Trout,14.33,7.19,4.09,9.07
Trout,13.56,7.25,6.62,7.76
Goldfish,16.38,7.78,13.82,5.37
Catfish,21.02,6.04,12.89,5.91
Goldfish,11.92,8.42,,7.68
Catfish,23.59,7.48,21.86,5.58
Clownfish,24.52,8.16,4.33,5.51
Catfish,21.67,6.15,63.17,3.56
Tilapia,23.64,7.28,48.36,6.19
Clownfish,25.11,7.82,3.4,6.78
Eel,14.37,6.87,20.66,6.89
Bass,19.33,7.31,,8.22
Catfish,21.05,6.2,55.16,6.34
Salmon,13.4,7.22,6.85,11.12
Trout,15.22,7.48,5.29,10.94
Trout,13.6,6.53,1.37,8.23
,11.24,7.22,,11.99
Eel,11.43,6.33,15.3,6.59
Salmon,,7.07,4.58,9.35
Eel,21.52,6.14,26.94,6.46
Eel,8.6,7.63,,6.04
Trout,10.21,6.54,2.15,7.16
Catfish,20.96,7.07,16.13,6.39
Trout,12.48,6.6,4.57,7.63
Tilapia,27.54,6.84,11.94,4.59
Tilapia,25.58,6.65,39.3,6.97
Catfish,22.47,7.53,74.41,3.17
Catfish,27.56,7.86,99.29,5.17
Catfish,21.04,7.43,76.03,6.58
,26.4,7.31,29.62,5.51
Eel,5.08,,23.15,5.09
Trout,15.71,6.74,5.01,8.97
Salmon,12.32,6.93,8.23,10.3
Catfish,21.25,7.66,24.06,
,16.02,8.19,6.92,5.3
Trout,11.36,7.27,5.87,11.7
Goldfish,17.83,7.23,8.47,7.21
Salmon,13.14,7.0,4.89,9.82
Tilapia,24.66,7.13,22.72,7.11
Eel,,7.38,10.55,6.47
Salmon,9.6,7.37,7.86,10.78
Goldfish,21.13,7.94,10.21,5.47
Goldfish,18.38,7.92,5.3,7.94
Eel,12.88,7.79,11.88,5.07
Goldfish,20.75,7.88,11.79,7.06
Bass,19.72,6.5,35.9,6.8
Catfish,25.35,7.32,,3.55
Bass,18.0,6.94,25.38,7.11
Eel,22.27,7.99,15.23,7.71
